d_donor_A,d_acceptor_A
1.281533661638680766e+00,1.304401007663755552e+00
1.280251226424062860e+00,1.305464171795828632e+00
1.278965497679241503e+00,1.306531163379642146e+00
1.277677527042551775e+00,1.307600864298436694e+00
1.276385348133210362e+00,1.308675338719665904e+00
1.275089955419985266e+00,1.309753442991806516e+00
1.273791120998214677e+00,1.310835762839094532e+00
1.272488194081730084e+00,1.311922858307044804e+00
1.271181749682107620e+00,1.313013894768345180e+00
1.269871638473502262e+00,1.314109098187169034e+00
1.268556104332685397e+00,1.315210383066492739e+00
1.267236017172121088e+00,1.316316711550250762e+00
1.265910659935931770e+00,1.317429042843893505e+00
1.264580807160107234e+00,1.318546766530471981e+00
1.263246001151185238e+00,1.319670281919993915e+00
1.261906324923799838e+00,1.320799494968977639e+00
1.260561855624300787e+00,1.321934249116590632e+00
1.259212939287199795e+00,1.323074188672311191e+00
1.257859016990253709e+00,1.324219971221458625e+00
1.256499598352505576e+00,1.325372116938646538e+00
1.255134315747835183e+00,1.326530822803624998e+00
1.253763781801966237e+00,1.327695455209865427e+00
1.252388455624280361e+00,1.328865466909328497e+00
1.251007275198692925e+00,1.330041960926630962e+00
1.249620789287554379e+00,1.331224639444124502e+00
1.248229131610808285e+00,1.332413476778334438e+00
1.246833072770388240e+00,1.333607836015835657e+00
1.245432064725989108e+00,1.334808279635492534e+00
1.244026478561868876e+00,1.336014309996009342e+00
1.242614780211824588e+00,1.337227535789900612e+00
1.241198329587224425e+00,1.338446355712680669e+00
1.239778381486577041e+00,1.339669621784940423e+00
1.238354371406861665e+00,1.340897835828136486e+00
1.236926865425081568e+00,1.342130583235794372e+00
1.235495894715416210e+00,1.343367875508541642e+00
1.234059923806895887e+00,1.344611457102305563e+00
1.232620565812758917e+00,1.345859689295102690e+00
1.231178696826846997e+00,1.347111724895473817e+00
1.229732744478378770e+00,1.348368876661135030e+00
1.228282676985277044e+00,1.349631301084412538e+00
1.226829021120890983e+00,1.350898354874254359e+00
1.225370217738646517e+00,1.352171623509318188e+00
1.223907305235690135e+00,1.353450180739281361e+00
1.222440094239452435e+00,1.354734472057222749e+00
1.220968406377943793e+00,1.356024918345160701e+00
1.219491904413306571e+00,1.357321764980881307e+00
1.218010527438203816e+00,1.358624857119387519e+00
1.216524514357463671e+00,1.359933908968853356e+00
1.215035286103308021e+00,1.361247423240238286e+00
